codice esercizio,PROVINCIA,COMUNE,CATEGORIA,DENOMINAZIONE,name,operator,LOCALITA,FRAZIONE,INDIRIZZO 1,INDIRIZZO 2,CAP,TELEFONO,CELLULARE,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,N_BAGNI,oh,PERIODO_APERTURA 1,PERIODO_APERTURA 2,PERIODO_APERTURA 3,PERIODO_APERTURA 4,PERIODO_APERTURA 5,PERIODO_APERTURA 6,PERIODO_APERTURA 7,PERIODO_APERTURA 8,lat,lng
47860,PORDENONE,POLCENIGO,Standard,B&B Gorgazzo di Celant Vanda,B&B Gorgazzo ,Celant Vanda,-,GORGAZZO,Via Giuliana,32,33070,+39 0434 748959,+39 348 9195794,,bbgorgazzo@gmail.com,,2,4,1,Feb 01 - Dec 31,Feb 01 - Dec 31,,,,,,,,46.038305,12.4953664
35120,PORDENONE,POLCENIGO,-,Lucia di Ivan Lucia,Lucia ,Ivan Lucia,-,SAN GIOVANNI,Via Nuova,5,33070,,+39 339 7304898,,lucia.ivan23@gmail.com,,2,4,1,"Mar 01 - Jun 30, Jul 10 - Sep 15, Oct 01 - Dec 30",Mar 01 - Jun 30,Jul 10 - Sep 15,Oct 01 - Dec 30,,,,,,46.0277765,12.5140164
2541,PORDENONE,POLCENIGO,-,Palazzo Scolari di Salice Anna,Palazzo Scolari ,Salice Anna,-,-,Via Gorgazzo,2,33070,+39 0434 74100,+39 320 0726080,,palazzo.scolari@gmail.com,http://www.palazzoscolari.it,3,7,3,"Jan 01 - Jan 07, Mar 28 - Nov 04, Dec 20 - Dec 31",Jan 01 - Jan 07,Mar 28 - Nov 04,Dec 20 - Dec 31,,,,,,46.031881,12.5025083
63440,PORDENONE,PORCIA,Standard,Ca Del Cuore di Pasut Franca,Ca Del Cuore ,Pasut Franca,PORCIA,-,Via Muzzile,68,33080,,+39 3473737207,,,,2,4,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.9557518,12.6225034
51400,PORDENONE,PORCIA,Standard,Il Tubia ,,,PORCIA,RORAIPICCOLO,Via Piave,2,33080,+39 0434 082243,+39 3471045306,,il.tubia.bb@gmail.com,http://www.iltubia.wordpress.com,2,4,1,Mar 01 - Nov 30,Mar 01 - Nov 30,,,,,,,,45.9509052,12.6341928
52860,PORDENONE,PORDENONE,Superior,Casa di Mary di Rossit Mary Anne,,Mary Anne,-,-,Via Adamello, 7/B,33170,,+39 347 5451283 / 338 4686658,,casadimary@gmail.com,http://www.casadimary.it,2,4,2,"Jan 01 - Feb 10, Mar 03 - Dec 31",Jan 01 - Feb 10,Mar 03 - Dec 31,,,,,,,45.9749098,12.6778578
64540,PORDENONE,PORDENONE,Standard,La Valada Bed & Breakfast,,,-,-,Via Nuova di Corva,87,33170,,+39 388 7888628,,info@lavalada.it,http://www.lavalada.it,2,4,1,"Jan 01 - Jan 03, Mar 03 - Dec 31",Jan 01 - Jan 03,Mar 03 - Dec 31,,,,,,,45.9452126,12.6640868
61760,PORDENONE,PORDENONE,Standard,Bbnaon di Klugmann Maria Elena,,Maria Elena,-,-,Via Brugnera,15,33170,+39 0434 578114,+39 334 3323156,,marilena.klugmann@gmail.com,http://www.bbnaon.com,2,3,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.9283103,12.6411949
65480,PORDENONE,PORDENONE,Standard,Bed & Breakfast Non Fumatori - No Smoking Bed & Breakfast,,,PORDENONE,-,Via Beata Domicilla,17,33170,,+39 347 4080072,,santosh_sadeha@yahoo.it,,3,4,1,"Jan 10 - Jul 03, Jul 11 - Dec 30",Jan 10 - Jul 03,Jul 11 - Dec 30,,,,,,,45.9612229,12.668401
58960,PORDENONE,PORDENONE,Standard,Il Campanile di Gabbana Maria Lisa,,Maria Lisa,-,-,Via delle Campanelle,6,33170,"+39 3,93505E+11","+39 3,93505E+11","+39 3,91782E+11",info@ilcampanile.eu,http://www.ilcampanile.eu,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,,
68500,PORDENONE,PORDENONE,Comfort,B & B Airis di Falomo Enrico,B & B Airis ,Falomo Enrico,PORDENONE,-,Corso Giuseppe Garibaldi,48,33170,,+39 333 6695585,,daria.moro22@gmail.com,,3,5,3,"Jan 07 - Jun 14, Aug 25 - Dec 21",Jan 07 - Jun 14,Aug 25 - Dec 21,,,,,,,45.9619639,12.6555798
48381,PORDENONE,PORDENONE,Comfort,Casa Ai Gelsomini di Tius Silvano,Casa Ai Gelsomini ,Tius Silvano,VICOLO,-,Via Molinari,14,33170,,+39 347 3044566,,lovisan@libero.it,http://casaaigelsomini.it,1,2,1,Feb 15 - Nov 14,Feb 15 - Nov 14,,,,,,,,45.9640763,12.6600293
49380,PORDENONE,PORDENONE,Comfort,Donna Prassede di Zanatta Prassede,Donna Prassede ,Zanatta Prassede,-,-,Via Genova Cavalleria,19,,+39 0434  362150,+39 328  1720088,,prassede27@libero.it,,2,3,1,Feb 15 - Nov 30,Feb 15 - Nov 30,,,,,,,,,
48360,PORDENONE,PORDENONE,Comfort,Giardino In Citta  di da Re Enrichetta,,Re Enrichetta,-,-,Via Montereale,45,33170,+39 0434 366288,+39 347 9142498,+39 0434 366288,info@giardinoincitta.it,http://www.giardinoincitta.it,3,6,3,"Jan 17 - Aug 12, Aug 27 - Dec 31",Jan 17 - Aug 12,Aug 27 - Dec 31,,,,,,,45.9801488,12.6458405
52180,PORDENONE,PORDENONE,Comfort,Girasole di Rosset Tiziana,Girasole ,Rosset Tiziana,-,-,Via della Resistenza,10,33170,,+39 349 2192209,+39 0434 361923,bbpordenone@gmail.com,,3,7,2,Mar 01 - Dec 31,Mar 01 - Dec 31,,,,,,,,45.9687653,12.6470318
50302,PORDENONE,PORDENONE,Comfort,La Gila di Guarini Roberto,La Gila ,Guarini Roberto,-,-,Via Montereale,22,33170,,+39 329 9264965,,info@bblagila.it,http://www.bblagila.it,3,6,2,"Jan 01 - Jan 09, Feb 11 - Jul 31, Aug 31 - Nov 14, Dec 16 - Dec 31",Jan 01 - Jan 09,Feb 11 - Jul 31,Aug 31 - Nov 14,Dec 16 - Dec 31,,,,,45.9801488,12.6458405
34740,PORDENONE,PORDENONE,-,Camera Doppia di Caiazzo Giusy,Camera Doppia ,Caiazzo Giusy,VALLENONCELLO,-,Via Montebelluna,16,33170,,+39 392 9800975,,info@cameradoppia.it,,3,6,3,"Jan 08 - Aug 05, Sep 05 - Dec 23",Jan 08 - Aug 05,Sep 05 - Dec 23,,,,,,,45.9295648,12.6437607
44481,PORDENONE,PORDENONE,-,Civico 22 di  Pauletto Natalia,,Pauletto Natalia,-,-,Via Eraclea,17,33170,,+39 335 6791330,,info@bbcivico22.it,http://www.bbcivico22.it,3,6,3,"Feb 01 - Jul 31, Sep 01 - Dec 31",Feb 01 - Jul 31,Sep 01 - Dec 31,,,,,,,45.9648599,12.6603852
40584,PORDENONE,PORDENONE,-,E.B. Camere In Villa di Martin Bruno,E.B. Camere In Villa ,Martin Bruno,-,-,Via San Quirino,60,33170,+39 0434 364305,,,bedandbreakfast-pn@hotmail.it,,3,6,2,"Jan 01 - Sep 30, Nov 01 - Dec 31",Jan 01 - Sep 30,Nov 01 - Dec 31,,,,,,,45.9673237,12.6579358
40582,PORDENONE,PORDENONE,-,Il Vicolo Camere In Villa di Martin Matteo,Il Vicolo Camere In Villa ,Martin Matteo,-,-,Via Roggiuzzole,5,33170,,+39 345 6089089,,bedandbreakfast-pn@hotmail.it,,1,2,1,"Jan 01 - Sep 30, Nov 01 - Dec 31",Jan 01 - Sep 30,Nov 01 - Dec 31,,,,,,,45.9658318,12.6563683
40583,PORDENONE,PORDENONE,-,Roggiuzzole 5 Camere In Villa di Martin Gian Maria,,Gian Maria,-,-,Via Roggiuzzole,5,33170,,+39 348 3001827,,bedandbreakfast-pn@hotmail.it,,2,4,1,"Jan 01 - Sep 30, Nov 01 - Dec 31",Jan 01 - Sep 30,Nov 01 - Dec 31,,,,,,,45.9658318,12.6563683
56800,PORDENONE,SACILE,Superior,Casa Carrer di Carrer Gilberto,Casa Carrer ,Carrer Gilberto,-,SAN GIOVANNI DI LIVENZA,Strada Valle Brugnera,7,,+39 0434 767927,,,info@casacarrer.it,,4,8,4,"Feb 04 - Feb 17, Mar 11 - Nov 07, Dec 07 - Dec 31",Feb 04 - Feb 17,Mar 11 - Nov 07,Dec 07 - Dec 31,,,,,,45.9162158,12.524379
35280,PORDENONE,SACILE,Standard,Ca  Livenza di Vicenzot Carla,Ca  Livenza ,Vicenzot Carla,-,-,Via Ronche,72,33077,+39 0434 734853,+39 338 5032213  333 3127116,,calivenza@libero.it,http://www.calivenza.it,3,6,3,"Jan 01 - Jan 03, Jan 11 - Mar 14, Mar 19 - Oct 03, Oct 08 - Dec 31",Jan 01 - Jan 03,Jan 11 - Mar 14,Mar 19 - Oct 03,Oct 08 - Dec 31,,,,,45.9654587,12.4901516
64520,PORDENONE,SAN GIORGIO DELLA RICHINVELDA,Superior,Antico Borgo Leone,,Borgo Leone,-,DOMANINS,Via Borgo Leone, 35/1,,+39 3404963701,+39 3404963701,+39 0427 94663,dbgiovanni@hotmail.it,,2,4,2,"Mar 01 - Sep 21, Oct 21 - Dec 21",Mar 01 - Sep 21,Oct 21 - Dec 21,,,,,,,46.0199094,12.8271188
69620,PORDENONE,SAN QUIRINO,Superior,Ai Templari di Rosset Ivana,Ai Templari ,Rosset Ivana,-,-,Via dei Templari,16,33080,+39 0434 366464,+39 347 5830514,,info@aitemplari.com,,1,2,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.997621,12.6566158
52380,PORDENONE,SAN QUIRINO,Superior,Podere 35 di Arca Graziella,Podere 35 ,Arca Graziella,VILLOTTE,-,Via Pola,2,33080,+39 0434 919470,+39 334 7352045,,regra1@virgilio.it,,1,2,1,Feb 12 - Nov 09,Feb 12 - Nov 09,,,,,,,,46.0265492,12.6441021
66680,PORDENONE,SAN VITO AL TAGLIAMENTO,Comfort,Chiaro di Luna di Trevisan Alessandro,Chiaro di Luna ,Trevisan Alessandro,-,-,Località Santa Sabina,10,33078,,+39 338 8531926  334 2615271,,info.bebchiarodiluna@gmail.com,,3,4,3,"Jan 01 - Jun 30, Sep 01 - Dec 31",Jan 01 - Jun 30,Sep 01 - Dec 31,,,,,,,45.8941312,12.8857506
66841,PORDENONE,SEQUALS,Standard,Bed And Breakfast da Paolo di Zara Paolo,Bed And Breakfast da Paolo ,Zara Paolo,-,-,Via del Capitel,4,33090,+39 042 793587,,,sassodoto@pec.coldiretti.it,,2,4,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,46.1774149,12.8165757
2467,PORDENONE,SEQUALS,-,Casarin Lucia,,,-,-,Via Cristofori,10,33090,+39 042793795,,,luciaelleci@yahoo.it,,2,5,1,"Jan 01 - Jan 31, Mar 01 - Sep 30, Dec 01 - Dec 31",Jan 01 - Jan 31,Mar 01 - Sep 30,Dec 01 - Dec 31,,,,,,,
59040,PORDENONE,SESTO AL REGHENA,Standard,Allaolla di Nonis Misha,Allaolla ,Nonis Misha,-,BAGNAROLA,Via Monte Santo, 40B,33079,,+39 0039 3289778321,,info@allaolla.it,http://www.allaolla.it,1,6,2,Jan 08 - Dec 06,Jan 08 - Dec 06,,,,,,,,45.866808,12.8601706
33022,PORDENONE,SESTO AL REGHENA,-,Vignal di Scacco Roberta,Vignal ,Scacco Roberta,-,Bagnarola,Via Mielma,51,33078,,+39 328 4067691,,info@vignal.it,http://www.vignal.it,3,6,3,"Jan 04 - Feb 09, Feb 14 - Jul 31, Aug 25 - Dec 22",Jan 04 - Feb 09,Feb 14 - Jul 31,Aug 25 - Dec 22,,,,,,45.8665097,12.8423017
63061,PORDENONE,SPILIMBERGO,Superior,Cuore di Lavanda di Micheli Stefania,Cuore di Lavanda ,Micheli Stefania,-,GAIO,Via Damiano Chiesa,6,33097,,+39 392 2115603,,cuoredilavanda@gmail.com,http://www.cuoredilavanda.it,3,6,3,"Jan 01 - Jan 03, Feb 24 - Mar 06, Mar 24 - Dec 31",Jan 01 - Jan 03,Feb 24 - Mar 06,Mar 24 - Dec 31,,,,,,46.1425815,12.90569
40621,PORDENONE,SPILIMBERGO,Superior,Relais La Torre di De Marchi Patrizia,,Marchi Patrizia,-,-,Corso Roma,28,33097,,+39 339 2697717,,info@relaislatorre.com,http://www.relaislatorre.com,3,8,3,"Jan 01 - Jan 09, Jan 20 - Jan 24, Jan 30 - Feb 14, Feb 22 - Mar 02, Mar 12 - Mar 23, Mar 30 - Sep 19, Sep 28 - Oct 15",Jan 01 - Jan 09,Jan 20 - Jan 24,Jan 30 - Feb 14,Feb 22 - Mar 02,Mar 12 - Mar 23,Mar 30 - Sep 19,Sep 28 - Oct 15,Oct 26 - Nov 05,46.1108071,12.9036259
45120,PORDENONE,SPILIMBERGO,-,B&B  Borgo Dala Mora di Chivilo  Damiano,,,SPILIMBERGO,TAURIANO,Vicolo Stretto,1,33097,+39 0427 950970,+39 339 1449410,,borgomora@borgodalamora.it,http://www.borgodalamora.it,1,3,1,Apr 01 - Dec 31,Apr 01 - Dec 31,,,,,,,,46.1062579,12.8635246
2397,PORDENONE,TRAVESIO,-,I Girasoli di Ballarin Tamara,I Girasoli ,Ballarin Tamara,-,MOLEVANA,Via Garibaldi,22,33090,+39 0427 90493,+39 334 3180668,+39 0427 90493,info@igirasoli.org,http://www.igirasoli.org,3,8,3,"Jan 01 - Jan 07, Mar 23 - Dec 31",Jan 01 - Jan 07,Mar 23 - Dec 31,,,,,,,,
66881,PORDENONE,VALVASONE ARZENE,Superior,B & B Maiaroff di Truant Adriano,B & B Maiaroff ,Truant Adriano,VALVASONE,-,Via Maiaroff,21,33098,+39 0434 898844,+39 337 545771,,adrianotruant@gmail.com,,2,6,2,Feb 01 - Sep 30,Feb 01 - Sep 30,,,,,,,,45.9941104,12.8522453
66880,PORDENONE,VALVASONE ARZENE,Superior,Casa Menini B&B di Menini Umberto,Casa Menini B&B ,Menini Umberto,VALVASONE,-,Via Cesare Battisti,4,33098,+39 0434 89021,+39 340 5993136,+39 0434 899970,info@casamenini.it,http://www.casamenini.it,3,8,3,Apr 01 - Dec 31,Apr 01 - Dec 31,,,,,,,,,
50361,PORDENONE,VALVASONE ARZENE,Superior,Giardino In Corte di Stoinoff Sofia,Giardino In Corte ,Stoinoff Sofia,-,-,Via Bando,2,33098,,+39 3385899420,,bbgiardinoincorte@gmail.com,http://www.bbgiardinoincorte.com,4,7,3,Apr 21 - Sep 30,Apr 21 - Sep 30,,,,,,,,45.9998871,12.8616255
35920,PORDENONE,VALVASONE ARZENE,Superior,La Contrada di Paron Aldo,La Contrada ,Paron Aldo,-,-,Vicolo monte Santo,1,33098,+39 0434 89142,+39 339 3763747,,aldovalv@alice.it,,3,6,3,Mar 01 - Nov 30,Mar 01 - Nov 30,,,,,,,,45.996442,12.8615402
2479,PORDENONE,VALVASONE ARZENE,Comfort,Rovere Dalla Riva di Rovere Ivano,Rovere Dalla Riva ,Rovere Ivano,-,-,Via Alpi,30,33090,+39 0434 899401,+39 338 8003666,+39 0434 899401,,,3,6,3,"Jan 01 - Jan 06, Apr 01 - Dec 31",Jan 01 - Jan 06,Apr 01 - Dec 31,,,,,,,46.0009198,12.8471355
37240,PORDENONE,VITO D ASIO,-,Dirce di Danieletto Elisabetta,Dirce ,Danieletto Elisabetta,-,PIELUNGO,Via 4 novembre,39,33090,,+39 338 3945892,,elisabetta.danieletto@poste.it,,2,4,1,Jun 01 - Sep 30,Jun 01 - Sep 30,,,,,,,,,
35460,PORDENONE,VIVARO,-,All Alba Dei Magredi di Trevisanutto Gelindo,All Alba Dei Magredi ,Trevisanutto Gelindo,-,BASALDELLA,Via Spilimbergo,2,33099,,+39 335 7170805,+39 0427 97515,gelindo.gelindo@libero.it,,2,6,1,"Jan 01 - Jan 30, Mar 01 - Apr 30, Jun 01 - Sep 30, Oct 01 - Dec 31",Jan 01 - Jan 30,Mar 01 - Apr 30,Jun 01 - Sep 30,Oct 01 - Dec 31,,,,,46.0861572,12.7901825
41360,PORDENONE,VIVARO,-,Bepu Pegna di Trevisanutto Chiara,Bepu Pegna ,Trevisanutto Chiara,-,-,Via Vittorio Emanuele,64,33099,,+39 335 7170807,,chiara.trevisanutto@gmail.com,,1,2,1,"Jan 01 - Jan 07, Apr 01 - Apr 30, Jul 01 - Aug 30, Sep 01 - Sep 30, Oct 01 - Nov 09, Dec 15 - Dec 31",Jan 01 - Jan 07,Apr 01 - Apr 30,Jul 01 - Aug 30,Sep 01 - Sep 30,Oct 01 - Nov 09,Dec 15 - Dec 31,,,46.0740621,12.779446764749
67483,PORDENONE,ZOPPOLA,Standard,B&B Il Vecchio Glicine,,Vecchio Glicine,-,-,Via Saciletti,17,33080,,+39 338 2293551,,orianafavretti@alice.it,,2,5,2,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.9676469,12.7645761
42902,TRIESTE,DUINO-AURISINA,Superior,Castello di Lanz Veronique,Castello ,Lanz Veronique,-,DUINO,Via Duino, 35/A,34011,+39 040 208120,,+39 040 2071398,visite@castellodiduino.it,,2,5,2,Mar 01 - Nov 24,Mar 01 - Nov 24,,,,,,,,45.7767586,13.6059489
50120,TRIESTE,DUINO-AURISINA,Superior,Duino Stella Maris di Valenti Alba,Duino Stella Maris ,Valenti Alba,-,DUINO,Via Duino, 78/D,34011,,+39 347 2311979,,MIKIsub@gmail.com,http://www.duinostellamaris.it,3,5,3,"Jan 01 - Jan 10, Mar 05 - Nov 30, Dec 05 - Dec 31",Jan 01 - Jan 10,Mar 05 - Nov 30,Dec 05 - Dec 31,,,,,,45.7767586,13.6059489
50020,TRIESTE,DUINO-AURISINA,Standard,Da Rosy di Mrvcic Nicholas,Da Rosy ,Mrvcic Nicholas,-,SISTIANA,Via Sistiana, 59/L,34011,+39 333 3458435,+39 333 3458435,+39 040 299176,darosybb@gmail.com,http://www.darosy.it,4,8,2,"Jan 01 - Jan 13, Jan 18 - Dec 31",Jan 01 - Jan 13,Jan 18 - Dec 31,,,,,,,45.7726431,13.6466727
47340,TRIESTE,DUINO-AURISINA,Standard,Le Falesie di Bosio Chiara,Le Falesie ,Bosio Chiara,-,SISTIANA,Via Sistiana, 29/A,34011,,+39 380 7023047,,bb@lefalesie.it,http://www.lefalesie.it,2,4,1,Jan 01 - Dec 31,Jan 01 - Dec 31,,,,,,,,45.7726431,13.6466727
41900,TRIESTE,DUINO-AURISINA,Standard,Oltremare di Jerman Walter,Oltremare ,Jerman Walter,-,SISTIANA,Via Sistiana, 34/E,34011,,+39 338 9378246,,info@oltremaresistiana.it,http://www.oltremaresistiana.it,3,6,2,"Jan 01 - Nov 01, Dec 01 - Dec 31",Jan 01 - Nov 01,Dec 01 - Dec 31,,,,,,,45.7726431,13.6466727
40820,TRIESTE,DUINO-AURISINA,Standard,Pane E Tulipani di Tavcar Goran,Pane E Tulipani ,Tavcar Goran,-,DUINO,Via Duino, 75/Z,34011,,+39 329 7213197,,pantulipani@gmail.com,http://www.pantulipani.splinder.com,3,6,2,"Mar 01 - Mar 30, May 01 - May 30, Jun 01 - Jun 30, Jul 01 - Jul 31, Aug 01 - Aug 30, Sep 01 - Oct 30",Mar 01 - Mar 30,May 01 - May 30,Jun 01 - Jun 30,Jul 01 - Jul 31,Aug 01 - Aug 30,Sep 01 - Oct 30,,,45.7767586,13.6059489
52460,TRIESTE,DUINO-AURISINA,Standard,Porto Del Bivio di Marchesich Federica,Porto Del Bivio ,Marchesich Federica,-,DUINO,Via Duino, 75/V,34011,,+39 339 2864170,,FEDERICA.MARCHESICH65@gmail.com,,2,4,1,Mar 21 - Dec 31,Mar 21 - Dec 31,,,,,,,,45.7767586,13.6059489
40821,TRIESTE,DUINO-AURISINA,Standard,Strupetou di Bernasconi Paola,Strupetou ,Bernasconi Paola,-,MALCHINA,Via Chialina,16,34011,+39 040 2907126,+39 347 7950723,,info@strupetou.it,http://www.strupetou.it,2,6,1,Mar 27 - Nov 03,Mar 27 - Nov 03,,,,,,,,,
63480,TRIESTE,MUGGIA,Standard,B&B Alle Violette di  Felice Maura,,Felice Maura,-,-,Località Pontario,31,34015,,+39 333 1652009,,curetanona@gmail.com,,2,5,1,"Apr 01 - Jul 11, Jul 25 - Dec 01",Apr 01 - Jul 11,Jul 25 - Dec 01,,,,,,,,
59800,TRIESTE,MUGGIA,Standard,B&B Silvia di Leuz Silvia,B&B Silvia ,Leuz Silvia,-,-,Via San Bartolomeo, 22/F,34015,,+39 335 1247805,,silvialeuz@gmail.com,,4,8,2,"Jan 01 - Jan 14, Jan 23 - Oct 24, Nov 02 - Dec 31",Jan 01 - Jan 14,Jan 23 - Oct 24,Nov 02 - Dec 31,,,,,,,
63160,TRIESTE,MUGGIA,Standard,Uphill di Milic Olivera,Uphill ,Milic Olivera,-,-,Salita Muggia Vecchia,4,34015,,+39 329 0634922,,milic.olivera@gmail.com,,3,7,1,Mar 01 - Oct 31,Mar 01 - Oct 31,,,,,,,,45.5996484,13.7534357
43882,TRIESTE,MUGGIA,-,B&B Le Vele di Zuppet Serafino,B&B Le Vele ,Zuppet Serafino,-,-,Lungomare Venezia,7,34015,+39 040 330747,+39 349 3999242,,,http://www.inognidove.com,2,5,2,Apr 15 - Dec 15,Apr 15 - Dec 15,,,,,,,,45.6061827,13.7636421
64440,TRIESTE,SAN DORLIGO DELLA VALLE - DOLINA,Superior,B&B Sotto Il Volto di Zannier Ruggero,B&B Sotto Il Volto ,Zannier Ruggero,BAGNOLI DELLA ROSANDRA,-,Strada della Rosandra,114,34018,+39 3389077539,+39 3480060824,,alexiapillepich@gmail.com,,1,4,1,Feb 01 - Oct 30,Feb 01 - Oct 30,,,,,,,,45.6186714,13.864808
58900,TRIESTE,SAN DORLIGO DELLA VALLE - DOLINA,Superior,B&B Torrente Rosandra di Pozzer Andrea,B&B Torrente Rosandra ,Pozzer Andrea,BAGNOLI SUPERIORE,-,Vicolo Superiore,152,34018,+39 040 8327132,+39 3661460868,,andreapozzer@hotmail.com,,2,5,2,"Jan 01 - Jan 11, Feb 14 - May 18, May 30 - Dec 31",Jan 01 - Jan 11,Feb 14 - May 18,May 30 - Dec 31,,,,,,,
55621,TRIESTE,SAN DORLIGO DELLA VALLE - DOLINA,Standard,Rosandra di  Codaglio Michele,,Codaglio Michele,BAGNOLI DELLA ROSANDRA,-,Strada della Rosandra,135,34018,+39 040 281954,+39 328 1749827,,BBROSANDRA@GMAIL.COM,,1,3,1,"Jan 01 - Jan 15, Jan 30 - Dec 31",Jan 01 - Jan 15,Jan 30 - Dec 31,,,,,,,45.6186714,13.864808
64023,TRIESTE,SAN DORLIGO DELLA VALLE - DOLINA,Comfort,B&B Mikeze E Jakeze di  Cavalli Cinzia,,Cavalli Cinzia,-,-,Via Franconia,388,34018,,+39 3274582281,,bbmikezejakeze@hotmail.com,http://www.bbmikezejakeze.it,2,5,2,Mar 01 - Dec 31,Mar 01 - Dec 31,,,,,,,,,
69060,TRIESTE,TRIESTE,Superior,Addicted To Paradise di Elena Allegranti,Addicted To Paradise ,Elena Allegranti,TRIESTE,-,Via Cellini,2,34132,+39 339 6426799,+39 339 6426799,,eleenuccia@hotmail.it,,1,2,1,Nov 23 - Dec 31,Nov 23 - Dec 31,,,,,,,,,
56760,TRIESTE,TRIESTE,Superior,Al Ciclamino  di Maria Luisa Viezzoli,,Luisa Viezzoli,TRIESTE,-,Via Costalunga,69,34149,+39 040 814668,+39 333 9491595,,luisaviezzoli@yahoo.it,,1,3,1,"Jan 11 - Jan 29, Feb 08 - Dec 31",Jan 11 - Jan 29,Feb 08 - Dec 31,,,,,,,45.6308855,13.7977219
49080,TRIESTE,TRIESTE,Superior,Al Tramonto di Giambirtone Rosalba,Al Tramonto ,Giambirtone Rosalba,-,-,Salita di Contovello, 69/2,,+39 040 412086,+39 334 3672222,,info@triestealtramonto.it,http://WWW.TRIESTEALTRAMONTO.IT,2,5,2,"Mar 15 - Jun 11, Jun 21 - Nov 05, Dec 07 - Dec 31",Mar 15 - Jun 11,Jun 21 - Nov 05,Dec 07 - Dec 31,,,,,,45.6968282,13.7395284
47742,TRIESTE,TRIESTE,Superior,All Ancora Blu  di Olivo Dorina,All Ancora Blu  ,Olivo Dorina,-,-,Via Commerciale, 148/5,,,+39 33 16319594,+39 040 43136,gavazzisa@tin.it,http://www.bebancorablu.it,1,3,1,Sep 01 - Dec 31,Sep 01 - Dec 31,,,,,,,,45.664174,13.7805949
71220,TRIESTE,TRIESTE,Superior,Alla Casa Sconta di  Alberto Liviani,,Alberto Liviani,-,-,Via dei Moreri,86,34135,+39 334 3327148,+39 334 3327148,,info@casasconta.it,http://WWW.CASASCONTA.IT,4,8,4,Jun 15 - Dec 31,Jun 15 - Dec 31,,,,,,,,45.6694602,13.775085
52240,TRIESTE,TRIESTE,Superior,Alla Casetta di Pietrobelli Elisabetta,Alla Casetta ,Pietrobelli Elisabetta,TREBICIANO,-,Località Cianal,217,34149,+39 040 214651,+39 333 2942744,,info@allacasetta.it,http://www.allacasetta.it,2,7,2,"Jan 01 - Oct 15, Dec 01 - Dec 31",Jan 01 - Oct 15,Dec 01 - Dec 31,,,,,,,,
51721,TRIESTE,TRIESTE,Superior,Amelie di Bufo Leonardo,Amelie ,Bufo Leonardo,-,-,Via San Francesco,23,34133,,+39 345 2973930,,info@amelietrieste.it,http://www.amelietrieste.it,3,7,3,"Jan 01 - Jan 03, Jan 11 - Jan 31, Feb 08 - Dec 31",Jan 01 - Jan 03,Jan 11 - Jan 31,Feb 08 - Dec 31,,,,,,,
51720,TRIESTE,TRIESTE,Superior,Atelier Lidia Polla di Bilucaglia Laura,Atelier Lidia Polla ,Bilucaglia Laura,-,-,Via del Coroneo,1,34100,,+39 334 7150231,+39 40633650,atelierlidiapolla@gmail.com,http://www.atelierlidiapolla.com,2,7,2,"Jan 01 - Jan 17, Jan 25 - Feb 07, Feb 15 - Dec 31",Jan 01 - Jan 17,Jan 25 - Feb 07,Feb 15 - Dec 31,,,,,,45.6565988,13.783054
70721,TRIESTE,TRIESTE,Superior,Bellavista di Conconello di Barbara Ferluga,Bellavista di Conconello ,Barbara Ferluga,CONCONELLO,-,Via Bellavista, 25/2,34151,,+39 334 5782965,,barbara.ferluga@gmail.com,,2,5,2,"Apr 15 - Nov 10, Dec 01 - Dec 31",Apr 15 - Nov 10,Dec 01 - Dec 31,,,,,,,-33.4309888,-70.6485434
54843,TRIESTE,TRIESTE,Superior,Casa Dodic di Lorenzi Viviana,Casa Dodic ,Lorenzi Viviana,-,-,Strada per Basovizza,20,34128,+39 040 567489,+39 331 1272029,,casadodic@yahoo.it,,3,7,3,"Jan 01 - Jan 17, Jan 25 - Oct 16, Dec 30 - Dec 31",Jan 01 - Jan 17,Jan 25 - Oct 16,Dec 30 - Dec 31,,,,,,45.6368178,13.8379242
62076,TRIESTE,TRIESTE,Superior,Chip And Chop di Marussi Flavia,Chip And Chop ,Marussi Flavia,TRIESTE,-,Via del Botro,19,34100,+39 040 814331,+39 329 6727241,+39 040 814331,chipandchopbnb@gmail.com,,1,4,1,"Jan 01 - Mar 30, Apr 09 - Aug 30, Sep 10 - Nov 03",Jan 01 - Mar 30,Apr 09 - Aug 30,Sep 10 - Nov 03,,,,,,45.6327137,13.823006
37960,TRIESTE,TRIESTE,Superior,Crispi di Bianco Iolanda,Crispi ,Bianco Iolanda,-,-,Via Crisaze,43,34100,+39 040 3721128,+39 346 9665499,+39 040 3721128,bbcrispitrieste@live.it,,2,7,2,"Jan 01 - Jan 15, Feb 01 - May 15, May 25 - Dec 31",Jan 01 - Jan 15,Feb 01 - May 15,May 25 - Dec 31,,,,,,,
