codice esercizio,COMUNE,name,operator,INDIRIZZO 1,INDIRIZZO 2,phone,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,oh,lat,lng
49080,TRIESTE,Al Tramonto,Giambirtone Rosalba,Salita di Contovello, 69/2,+39 040 412086;+39 334 3672222,,info@triestealtramonto.it,http://WWW.TRIESTEALTRAMONTO.IT,2,5,"Mar 15 - Jun 11, Jun 21 - Nov 05, Dec 07 - Dec 31",45.6909857,13.7444843
47742,TRIESTE,All Ancora Blu,Olivo Dorina,Via Commerciale, 148/5,+39 33 16319594,+39 040 43136,gavazzisa@tin.it,http://www.bebancorablu.it,1,3,Sep 01 - Dec 31,45.6651618,13.7797756
71220,TRIESTE,,Alberto Liviani,Via dei Moreri,86,+39 334 3327148;+39 334 3327148,,info@casasconta.it,http://WWW.CASASCONTA.IT,4,8,Jun 15 - Dec 31,45.6690437,13.7739594
52240,TRIESTE,Alla Casetta,Pietrobelli Elisabetta,Località Cianal,217,+39 040 214651;+39 333 2942744,,info@allacasetta.it,http://www.allacasetta.it,2,7,"Jan 01 - Oct 15, Dec 01 - Dec 31",,
51721,TRIESTE,Amelie,Bufo Leonardo,Via San Francesco,23,+39 345 2973930,,info@amelietrieste.it,http://www.amelietrieste.it,3,7,"Jan 01 - Jan 03, Jan 11 - Jan 31, Feb 08 - Dec 31",,
51720,TRIESTE,Atelier Lidia Polla,Bilucaglia Laura,Via del Coroneo,1,+39 334 7150231,+39 40633650,atelierlidiapolla@gmail.com,http://www.atelierlidiapolla.com,2,7,"Jan 01 - Jan 17, Jan 25 - Feb 07, Feb 15 - Dec 31",45.6530702,13.7771464
70721,TRIESTE,Bellavista di Conconello,Barbara Ferluga,Via Bellavista, 25/2,+39 334 5782965,,barbara.ferluga@gmail.com,,2,5,"Apr 15 - Nov 10, Dec 01 - Dec 31",-33.4316706646688,-70.6485851025237
54843,TRIESTE,Casa Dodic,Lorenzi Viviana,Strada per Basovizza,20,+39 040 567489;+39 331 1272029,,casadodic@yahoo.it,,3,7,"Jan 01 - Jan 17, Jan 25 - Oct 16, Dec 30 - Dec 31",45.6550086,13.8157875
62076,TRIESTE,Chip And Chop,Marussi Flavia,Via del Botro,19,+39 040 814331;+39 329 6727241,+39 040 814331,chipandchopbnb@gmail.com,,1,4,"Jan 01 - Mar 30, Apr 09 - Aug 30, Sep 10 - Nov 03",45.633344,13.8233173
37960,TRIESTE,Crispi,Bianco Iolanda,Via Crisaze,43,+39 040 3721128;+39 346 9665499,+39 040 3721128,bbcrispitrieste@live.it,,2,7,"Jan 01 - Jan 15, Feb 01 - May 15, May 25 - Dec 31",,
60220,TRIESTE,Elisabetta,Elisabetta Acampora,Via Vettor Carpaccio,8,+39 040 306226;+39 347 1886574,,bettinamail@yahoo.it,,1,2,"Jan 01 - Feb 13, Mar 02 - Dec 31",45.6433553,13.7708286
67683,TRIESTE,,,Viale Miramare,27,+39 040 411620;+39 380 3121665,,goldenrooms.ts@gmail.com,https://www.facebook.com/goldenroomsts/,3,8,"Jul 01 - Nov 28, Dec 05 - Dec 31",45.6623301,13.7701027
56920,TRIESTE,House 5,Valentina Ruspio,Via Giulia,5,+39 040 0644872;+39 3429024030,,info@house5.it,http://www.house5.it,4,8,"Jan 01 - Jan 22, Jan 25 - Feb 26, Mar 01 - Dec 24, Dec 26 - Dec 31",45.6534396,13.7831113
44500,TRIESTE,La Casa Dei Bassotti,Rondini Marina,Via del Lazzaretto Vecchio,12,+39 040 3220618;+39 340 5706930,,marina.peppino@hotmail.it,,1,2,"Mar 01 - Nov 02, Dec 07 - Dec 31",45.6455892,13.7608723
63800,TRIESTE,,Ursula Nussdorfer,Via Giorgio Nicolich,4,+39 333 2072876;+39 333 2072876,,unussdorfer@gmail.com,,2,4,"Jan 01 - Feb 04, Feb 07 - Nov 06, Nov 16 - Dec 31",45.6346579,13.8219233
42541,TRIESTE,La Culla di Trieste,Giannotta Alida,Via Carlo De Marchesetti, 12/8,+39 040 910579;+39 392 9649688,,daisy.2008@libero.it,http://www.laculladitrieste.it,3,6,"Jan 07 - Jul 01, Jul 15 - Dec 30",45.6413208,13.8252411
49404,TRIESTE,La Nuvola Bianca,Zotti Monica,Via dei Bidischini, 2/3,+39 348 3064809;+39 348 3064809,+39 040 574335,lanuvola@istrieste.it,http://www.lanuvolabianca.it,1,5,"Jan 01 - Jun 15, Jul 01 - Nov 10, Dec 01 - Dec 31",45.6715318,13.793133
71760,TRIESTE,La Stanza Mansarda Delle Meraviglie,Susanna Salvador,Via Tolmezzo,5,+39 040 417838;+39 331 8975704,,susannasalvador2016@gmail.com,,1,4,May 16 - Dec 11,45.6683293,13.7638157
66980,TRIESTE,Le Cupole di Trieste,Sarah Rosani,Piazza SantAntonio,6,+39 328 9040130;+39 328 9040130,,sarah.rosani@gmail.com,,3,8,May 16 - Dec 31,,
71121,TRIESTE,Magnolia,Renato Ressa,Viale Miramare, 229/1,+39 040 44718;+39 335 6034551,,renato.ressa@libero.it,,2,3,May 02 - Dec 31,45.6859842,13.7486673
69643,TRIESTE,,Daniela Frisori,Via Ulderico Moro, 4/1,+39 040 421301;+39 334 8402942,,info@ormedibora.com,http://www.ormedibora.com,1,3,Jan 01 - Dec 31,45.6845778,13.7571712
69980,TRIESTE,Pepeu,Andrea Milio,Via della Madonna del Mare,2,+39 040 4702814;+39 348 7191990,,andreamilio@yahoo.it,,1,2,"Mar 04 - May 12, May 22 - Jun 01, Jun 19 - Sep 15, Oct 02 - Dec 31",45.6475855,13.7663911
39360,TRIESTE,Petra,Minca Giorgio,Via Mazzini,44,+39 333 5753017,,bbpetra.trieste@yahoo.it,http://www.bedandbreakfastpetra.com,3,5,"Jan 01 - Jan 06, Jan 22 - Feb 14, Mar 05 - Mar 28, Apr 10 - Oct 09, Oct 29 - Nov 20, Dec 01 - Dec 31",45.650028,13.7762227
52921,TRIESTE,,Salm Cecile,Località Cianal,38,+39 346 0389838,,cecilevandersalm@gmail.com,http://www.randbtrieste.wordpress.com,1,2,"Jan 01 - Feb 23, Feb 28 - Nov 20, Nov 28 - Dec 31",,
55280,TRIESTE,,Stjepan Babic,Via del Boveto,18,+39 040 412586;+39 331 8144979,,sottoilfaro@gmail.com,http://www.sottoilfaro.com,3,6,"Jan 01 - Feb 24, Mar 17 - Nov 06, Nov 18 - Dec 31",45.6789153,13.7591731
59320,TRIESTE,Suite 45,Veronese Manilla,Via Commerciale,45,+39 040 415282;+39 347 7892455,,suite45trieste@libero.it,,1,2,"Jan 01 - Jan 06, Jan 15 - Nov 06, Nov 18 - Dec 31",45.6607755,13.7738808
46180,TRIESTE,Tre Rose,Battelini Aisha,Via Tommaso Grossi,16,+39 040 302564;+39 3466215453,,info@trerosetrieste.it,http://www.trerosetrieste.it,1,4,"Jan 01 - Jan 10, Jan 15 - Jan 18, Jan 22 - Jan 24, Jan 29 - Jan 31, Feb 05 - Feb 07, Feb 11 - Dec 31",45.6469648,13.7746412
51420,TRIESTE,Trieste Plus,Savanelli Stefano,Via Udine,12,+39 340 2360894;+39 340 2360894,,info@triesteplus.com,http://WWW.TRIESTEPLUS.COM,4,7,"Jan 01 - Feb 15, Feb 22 - Nov 20, Nov 28 - Dec 31",45.6572552,13.7739242
47260,TRIESTE,Villa Albori,Piazzi Martina,via Nazionale,41,+39 040 420341;+39 393 9876562,,info@villalbori.it,http://www.villaalbori.it,3,7,"Jan 01 - Jan 09, Jan 16 - Feb 10, Feb 17 - Oct 11, Oct 18 - Dec 31",45.6866187,13.7879831
44180,TRIESTE,Villa Fausta,Tracanelli Sergio,Salita di Gretta,5,+39 040 415252,+39 040 415252,mail@villafausta-trieste.com,http://www.villafausta-trieste.com,3,8,"Jan 01 - Jan 10, Jan 15 - Dec 21, Dec 28 - Dec 31",45.6655667,13.768969
67040,TRIESTE,,,Via di Conconello,67,+39 349 28888708;+39 389 5733125,,l.cicia@icloud.com,,2,5,"May 09 - Nov 29, Dec 07 - Dec 31",45.6819268,13.795804
71643,TRIESTE,Villa Moore,Marta Finzi,Via Riccardo Bazzoni,15,+39 338 5640049;+39 338 5640049,,martafinzi@yahoo.it,,1,4,Jul 21 - Dec 31,45.6446443,13.7698699
62680,TRIESTE,Villa Sisko,Ngrid Siskovic,Via del Boveto,41,+39 040 2608572;+39 331 6793456,+39 040 300298,villasisko@libero.it,,1,5,"Jan 01 - Feb 21, Feb 29 - Nov 20, Nov 28 - Dec 31",45.6783169,13.7584932
52640,TRIESTE,,Gonzalez Herrera,Largo della Barriera Vecchia,15,+39 345 5673624,,info@zenzerocannella.it,http://www.zenzerocannella.it,3,6,"Jan 01 - Jan 09, Feb 08 - Dec 31",45.6480112,13.7785813
46440,TRIESTE,?tirenca,Palcich Anna,sentiero padriciano,260,+39 040 226554;+39 335 8354806,,info@stirenca.it,http://www.stirenca.it,3,7,Mar 18 - Dec 01,45.6553096,13.8361374
68200,TRIESTE,,Giovanna Marson,Viale Miramare,27,+39 349 5871633;+39 349 871633,,ggiuliam@gmail.com,,2,4,Jul 26 - Dec 31,45.6623301,13.7701027
68800,TRIESTE,A Casa di Fra,Francesca Gandolfo,Via Giacomo Ciamician,20,+39 3396009054;+39 339 6009054,,francescagandolfo@hotmail.it,,1,1,"Jan 01 - Jul 14, Aug 01 - Dec 23",45.644799,13.7667247
70120,TRIESTE,Ai Pucci,Corrado Russignani,Strada di Fiume,382,+39 327 8346125,,daisy.2008@libero.it,,1,2,"Mar 20 - Jun 30, Jul 10 - Dec 31",45.6348152,13.8283505
47741,TRIESTE,,Lindegg Maria,Viale Miramare, 281/2,+39 040 410936;+39 347 9461621,+39 040 410396,mitta13@virgilio.it,,2,3,Apr 10 - Oct 31,45.6934813,13.7393466
53880,TRIESTE,Al Cucherle,Bonelli Daniela,Via di Torre Bianca,21,+39 348 4302556;+39 348 4302556,,alcucherle@gmail.com,http://www.bedandbreakfast-alcucherle-trieste.com,3,8,"Jan 01 - Feb 15, Feb 23 - Nov 20, Nov 27 - Dec 31",45.6528839,13.7733552
62502,TRIESTE,Al Giardino Pubblico,Claudio Puja,Via Cologna,2,+39 331 7544936,,sunclaud@yahoo.it,,3,5,"Jan 09 - Jan 30, Feb 20 - Dec 22",45.6770925,13.7534166
46400,TRIESTE,Al Laghetto,Carli Vaslij,Via di Basovizza,20,+39 338 9043445  339 8184619,,info@beblaghetto.it,http://www.beblaghetto.it,3,6,Mar 01 - Dec 31,45.6854799,13.7956515
63741,TRIESTE,Al Mitico Eremita,Sira Purini,Via fra Pace da Vedano,8,+39 338 5967362;+39 338 5967362,,mitico.eremita@gmail.com,,2,4,"Jan 01 - Jan 25, Jan 31 - Feb 29, Mar 06 - Dec 31",45.645767,13.7931007
72101,TRIESTE,Al Torzolon,Alessandro Zambon,Via Carbonara,4,+39 349 8357784;+39 349 8357784,,cipled82@gmail.com,,1,2,"Aug 01 - Nov 10, Dec 01 - Dec 31",45.640416,13.7780204
60460,TRIESTE,Al Tram,Vidman Natalia,Via XXX Ottobre,13,+39 347 6491495,,bbaltram@gmail.com,,3,4,"Jan 01 - Jan 31, Feb 15 - Feb 29, Mar 15 - Dec 31",45.6531115,13.7752887
51080,TRIESTE,,Gouvea Princy,Piazza Libertà,6,+39 345 3152686,,ametistatrieste@hotmail.com,,3,8,"Jan 01 - Jan 05, Feb 04 - Feb 16, Mar 15 - Mar 30, Apr 15 - Oct 23, Nov 15 - Dec 31",,
54500,TRIESTE,Angelo,Angelo Gaiangos,Via Cesare Battisti,23,+39 040 2464982;+39 347 5710205,,bbangelotrieste@gmail.com,,3,7,"Jan 01 - Jan 06, Jan 21 - Jan 31, Feb 16 - Dec 31",45.6526601,13.7807002
58260,TRIESTE,,Alessandro Conte,Via San Lazzaro,20,+39 340 2361780;+39 340 2361780,,info@anticoborgoteresiano.it,http://WWW.ANTICOBORGOTERESIANO.IT,3,8,"Jan 01 - Jan 11, Feb 02 - Feb 20, Mar 01 - Dec 31",45.6523859,13.7761884
66520,TRIESTE,Apartment Elisabeth,Frizzi Ingrid,Vicolo dei Gattorno,2,+39 338 9270803,,elisabethf116@gmail.com,,2,5,Mar 18 - Dec 31,45.6614511,13.7745426
67482,TRIESTE,Art&breakfast Atelier,Giorgio Schumann,Salita alla Madonna di Gretta,19,+39 040 416243;+39 339 6379366,,giorgio.schumann@alice.it,,2,3,Jul 15 - Nov 15,45.669054,13.7632552
65200,TRIESTE,Atema,Manuela Tommasini,Via Amerigo Vespucci, 4/1,+39 346 3025822;+39 346 3025822,,tommasinimanuela@live.com,,1,2,"Jan 01 - Feb 07, Feb 15 - Jun 25, Jul 02 - Dec 31",45.6421984,13.7781447
52600,TRIESTE,Barcolana Gold,Viva Donatella,Via Armando Diaz,19,+39 338 1584365,,barcolanagold@gmail.com,,2,6,"Jan 01 - Jan 30, Feb 02 - Feb 28, Mar 03 - Mar 28, Apr 01 - Apr 30, May 01 - May 23, May 26 - Jun 30, Jul 01 - Jul 30",45.6477406,13.7643497
72067,TRIESTE,,Mariangela Vella,Via Paolo Diacono,5,+39 388 8690423;+39 388 8690423,,bloomsroom2017@gmail.com,,1,2,"Aug 11 - Nov 12, Nov 20 - Dec 31",45.6447035,13.7779505
63900,TRIESTE,Blu&blu,Alessandra Prinz,Via Giulia,5,+39 349 3448631;+39 349 3448631,,prinzalessandra@gmail.com,,4,8,"Jan 01 - Jan 23, Feb 01 - Feb 20, Mar 01 - Nov 19, Nov 26 - Dec 31",45.6534396,13.7831113
47080,TRIESTE,Brass,Romich Giovanni,Via San Maurizio,5,+39 040 639517;+39 366 4068685,,brass@bedandbreakfast-trieste.com,http://www.bedandbreakfast-trieste.com,4,8,"Jan 01 - Jan 08, Jan 09 - Feb 22, Mar 02 - Nov 22, Nov 23 - Dec 31",45.6486481,13.7795439
71803,TRIESTE,,Daniela Negrui,Via Acacie,10,+39 327 3696434;+39 327 3696434,,daniela.negrui@gmail.com,,1,2,"Jul 01 - Nov 05, Dec 01 - Dec 31",,
66800,TRIESTE,Carsia B&B,Zef Gurasiu,Via Carsia, 34/7,+39 348 3145904;+39 348 3145904,,guraziuzef@gmail.com,,3,4,"May 02 - Nov 15, Dec 01 - Dec 31",45.6883938,13.7763468
69644,TRIESTE,Casa Liberty,Franca Stefani,Via Commerciale,40,+39 040 2410211;+39 339 5466652,,franca.natur@gmail.com,,1,2,"Jan 21 - Feb 10, Feb 27 - Jul 03, Jul 16 - Dec 15",45.6588238,13.7751338
68620,TRIESTE,Casa Murat,Dante Grassi,Via Muratte,6,+39 340 0645810;+39 340 0645810,,dantecostante45@gmail.com,,1,2,"Sep 27 - Oct 19, Nov 18 - Dec 31",,
71642,TRIESTE,Casaldina,Alessandro Gilardoni,Via Imbriani,1,+39 347 2529617;+39 347 2529617,,agilar61@gmail.com,,1,3,Jul 17 - Dec 31,,
62260,TRIESTE,Cassio,Beatrice Vecchiet,Via dellEremo, 241/3,+39 347 9257093;+39 347 9257093,,cassioinfo@bebcassio.com,,2,4,"Jan 01 - Jan 14, Jan 18 - Jan 21, Jan 25 - Jan 28, Feb 01 - Apr 13, Apr 18 - Nov 17, Nov 21 - Dec 31",45.6439311,13.812179
41481,TRIESTE,Cattinara,Sav Marjanca,Strada di Fiume,555,+39 040 910557;+39 338 1509385,,,,3,6,"Jan 01 - Aug 20, Sep 01 - Dec 20",45.6347072,13.8312499
66280,TRIESTE,Cerino,Silvia Cerino,Via Filippo Corridoni,12,+39 347 7309629,,cerisil@libero.it,,2,6,Mar 01 - Dec 31,45.6457673,13.7792347
52560,TRIESTE,Chiara,Lorenzo Meula,Via al Cisternone,9,+39 339 6801149,,chiarabeb@libero.it,,3,6,Jan 11 - Dec 22,45.6664463,13.766898
56840,TRIESTE,Colors,Michela Coslan,Via Vittoria Colonna,4,+39 040 311716;+39 347 9827914,,marco.nordio@gmail.com,,2,4,Jan 15 - Dec 15,45.6465916,13.7670105
72420,TRIESTE,Da Noi,Margherita Fonda,Via Cadorna,13,+39 348 2423988;+39 348 2423988,,punticinzia@libero.it,,3,8,Aug 01 - Dec 31,,
70622,TRIESTE,Da Selene,Selene Simonic,Scala al Monticello,4,+39 346 9566860;+39 346 9566860,,,,1,2,"Apr 30 - Aug 31, Oct 01 - Dec 31",45.6557722,13.7950218
72102,TRIESTE,,Castellanos Escandon,Via Carlo Antoni,24,+39 040 572932;+39 331 3150125,,virginia777.tc@gmail.com,,3,5,Aug 02 - Dec 20,45.6523471,13.8044501
69982,TRIESTE,Dai Muli,Alessandra Chiurco,Via Trento,15,+39 331 1257035,,alessandrachiurco@gmail.com,,4,8,"Mar 13 - Dec 11, Dec 20 - Dec 31",45.6554073,13.7727683
67360,TRIESTE,Dream 22,Elvio Tonsi,Via San Primo,24,+39 040 569946;+39 345 4143530,,elvio.tonsi@gmail.com,,2,6,"Jun 15 - Oct 31, Nov 15 - Dec 31",45.6556995,13.7994961
69642,TRIESTE,Esperia,Stefania Trevisan,Strada del Friuli,177,+39 349 0895717,,stefania1928@hotmail.it,,2,4,"Jan 01 - Jan 14, Feb 01 - Feb 12, Mar 01 - Oct 14, Oct 26 - Nov 04, Nov 26 - Dec 31",45.67880495,13.7619331622856
48641,TRIESTE,,Feno Marina,Largo a Roiano, 3/4,+39 393 7035235,,mdf@familylifetrieste.it,http://www.familylifetrieste.it,1,2,"Jan 01 - Jan 11, Jan 29 - Feb 15, Mar 04 - Dec 31",45.6631856,13.7701732
71644,TRIESTE,Gatteri,Graziella Vocca,Via Giorgio Gatteri,13,+39 040 368113;+39 320 3456297,,graziella.vocca@gmail.com,,2,6,"Jul 22 - Oct 29, Nov 19 - Dec 31",,
71222,TRIESTE,Gelsomina,Jasmin Lamprecht,Via SantApollinare,2,+39 348 2744530;+39 348 2744530,,jasmin.lamprecht@hotmail.it,,1,1,Jul 15 - Dec 31,45.6470791,13.7787743
55821,TRIESTE,,Dell Agata,Via San Michele,7,+39 340 6056039,,gensjuliats@virgilio.it,,3,6,"Jan 01 - Jan 17, Jan 24 - Feb 24, Mar 03 - Dec 31",45.6469081,13.7689006
61640,TRIESTE,Giardini,Gregoris Carla,Via dei Giardini, 21/1,+39 333 7575533,,gregoris.carla@tiscali.it,,2,5,"Jan 01 - Jan 10, Mar 01 - Dec 31",45.6238888,13.7841948
62701,TRIESTE,Grignetti Bed,Marco Grignetti,Via Rosset, 7/1,+39 347 2526570;+39 347 2526570,,marco.grignetti@libero.it,,2,5,"Jan 01 - Feb 05, Feb 14 - Nov 06, Nov 14 - Dec 31",,
45100,TRIESTE,Grim,Zamarin Giuliano,Via Pasquale Revoltella,87,+39 040 0642236;+39 349 4181357,,info@bedandbreakfastgrim.it,http://www.bedandbreakfastgrim.it,4,7,"Jan 10 - Jul 31, Aug 15 - Dec 25",45.6418687,13.7998717
62501,TRIESTE,,De Bernardis,Largo Sidney Sonnino,9,+39 040 2415605;+39 329 0427035,,debernardisme@hotmail.com,,2,5,"Jan 01 - Feb 14, Feb 29 - Dec 31",45.6443131,13.7822491
68060,TRIESTE,,Emma Sbaiz,Via Bramante,4,+39 338 4269189,,stesba64@virgilio.it,,1,2,Sep 22 - Dec 31,,
62740,TRIESTE,International,Gabriele Vassilich,Via Barriera,15,+39 347 5011444;+39 347 5011444,,internationaltrieste@gmail.com,,3,7,"Jan 01 - Feb 21, Feb 26 - Mar 13, Mar 17 - Jun 05, Jun 10 - Nov 20, Nov 25 - Dec 31",,
67684,TRIESTE,La Cogoma,Eleonora Callipo,Viale Miramare,29,+39 3461392966,,lacogoma29@gmail.com,,3,8,Jul 05 - Dec 31,45.6624957,13.7700051
56460,TRIESTE,Le Ortensie di Via Rossetti,Federica Paliaga,Via Rosset, 83/1,+39 320 5743826;+39 040 9498104,+39 3205743826,info@leortensiediviarossetti.it,http://www.leortensiediviarossetti.it,3,6,"Jan 01 - Jan 16, Jan 27 - Mar 20, Mar 27 - Apr 07, Apr 13 - Sep 22, Sep 29 - Oct 16, Oct 20 - Dec 31",,
70243,TRIESTE,Le Rose,Franca Boico,Vicolo delle Rose,45,+39 333 6041002,,,,1,2,"Apr 01 - Oct 30, Dec 01 - Dec 31",45.66693135,13.7767032956102
58720,TRIESTE,Le Stanze di Miramare,Tiziana Finzi,Viale Miramare,27,+39 342 9662480;+39 349 5871633,+39 040 420271,info@lestanzedimiramare.com,http://www.lestanzedimiramare.com,3,7,"Jan 01 - Feb 15, Mar 01 - Oct 31, Dec 01 - Dec 31",45.6623301,13.7701027
60280,TRIESTE,Lorenzo,Katerina Koti,Via Rosset,8,+39 328 8119561,,info@bandblorenzo.it,,3,7,"Jan 01 - Jan 09, Feb 20 - Mar 05, Mar 10 - Jun 10, Jun 15 - Sep 12, Sep 15 - Nov 04, Nov 07 - Dec 31",,
54842,TRIESTE,Mary Poppins S House,Lampi Lorena,Via Damiano Chiesa,98,+39 377 4546235,,marypoppinshouse6@gmail.com,,3,6,"Jan 01 - Jan 05, Jan 10 - Nov 16, Nov 22 - Dec 31",45.6561881,13.8124769
48780,TRIESTE,Mimosa,Franzinelli Gabriela,Via Carlo Schmidl,5,+39 333 5059214,,bb-mimosa@libero.it,http://www.bb-mimosa-trieste.weebly.com,2,4,"Jan 25 - Mar 24, Apr 04 - Jun 16, Jun 27 - Jul 07, Jul 18 - Aug 12, Aug 29 - Sep 16, Sep 26 - Oct 27, Nov 07 - Dec 22",45.6189284,13.7901164
49520,TRIESTE,Miramare,Paola Cantarutti,Viale Miramare,55,+39 347 8408555,,paola.cantarutti6@gmail.com,,1,3,"Jan 01 - Feb 02, Feb 10 - Sep 07, Sep 15 - Dec 31",45.6652707,13.7662035
69981,TRIESTE,,Salvatore Amato,Via dei Fabbri,3,+39 328 7043021,,totoottobre@hotmail.it,,2,4,"Feb 18 - Dec 11, Dec 16 - Dec 31",45.6462754,13.765391
52580,TRIESTE,Palazzo Brigido,Ricci Raffaella,Via Pozzo del Mare,1,+39 331 1865930,,info@palazzobrigido.com,http://www.palazzobrigido.com,3,8,"Jan 01 - Jan 06, Jan 13 - Jan 20, Jan 27 - Feb 03, Feb 10 - Feb 17, Feb 24 - Mar 03, Mar 10 - Dec 31",45.6493642,13.7672511
68822,TRIESTE,Peggy,Paola Viano,Via San Lazzaro,1,+39 347 2792580,,bnbpeggytrieste@gmail.com,,4,8,Oct 26 - Dec 31,45.6498499,13.7750493
66260,TRIESTE,Piazza Goldoni,Jacopo Ciampalini,Via Carducci,31,+39 328 3535274,,ciampaj87@hotmail.com,,4,8,Mar 03 - Dec 31,,
68821,TRIESTE,Porporella,Nataliya Rachkova,Via Cadorna,13,+39 329 0146105;+39 329 0146105,,kseniya80rachkova@gmail.com,,3,6,Oct 27 - Dec 31,,
54501,TRIESTE,,Ingeborg Klara,Via Giulia,53,+39 333 5068576;+39 333 5068576,,lampo68@teletu.it,,2,5,"Feb 01 - Mar 21, Apr 01 - Dec 31",45.6548614,13.7913172
72103,TRIESTE,,Giorgia Brianti,Strada per Longera,215,+39 040 576213;+39 339 8850817,,emanuelabrianti@tiscali.it,,1,2,Aug 01 - Dec 31,45.648365,13.8164198
71647,TRIESTE,San Giusto,Goran Pajc,Via della fornace,7,+39 320 2922696,,goran_paic@yahoo.it,,1,2,"Jun 01 - Oct 31, Dec 01 - Dec 31",45.6461483,13.7750121
69820,TRIESTE,Shabby Lullaby,Elisabeth Antonaglia,Via del Ghirlandaio, 22/2,+39 346 4783350,,eli.antonaglia@gmail.com,,1,2,"Feb 01 - Feb 12, Feb 17 - Mar 05, Mar 10 - Apr 02, Apr 07 - May 07, May 12 - Oct 22, Oct 27 - Nov 05, Nov 11 - Dec 10",45.641218,13.7893385
55241,TRIESTE,St. Jack,Antonini Erminia,Via Luigi Frausin,19,+39 328 6894017;+39 342 7836002,,st.jackts@gmail.com,,3,7,"Jan 01 - Jan 24, Feb 19 - Nov 13, Dec 16 - Dec 31",45.6432254,13.7782683
70380,TRIESTE,Starbene,Daniele Planine,Via Ario,27,+39 3249018482;+39 324 9018482,,dplanine@gmail.com,,2,4,"Apr 26 - Oct 15, Oct 29 - Nov 15, Nov 29 - Dec 31",,
64760,TRIESTE,Stella Marina,Silva Roveretto,Via Luigi Negrelli,2,+39 334 3366036;+39 334 3366036,,,,1,2,"Jan 01 - Mar 01, Mar 08 - Aug 07, Aug 14 - Dec 31",45.6407565,13.7719481
62077,TRIESTE,The Smiling Home,Gelletti Giulia,Via Ruggero Manna,20,+39 339 1800253,,casadipenny@gmail.com,,2,3,"Jan 01 - Jan 10, Jan 18 - Jan 24, Feb 01 - Dec 31",45.6585092,13.7744448
68880,TRIESTE,Torrebianca,Stefano Canato,Via Pozzo del Mare,1,+39 040 2606497;+39 329 1431701,,torrebinacaitalia@gmail.com,,2,5,Nov 10 - Dec 31,45.6493642,13.7672511
66061,TRIESTE,,I Rivi,Piazza tra i Rivi,5,+39 3939000143;+39 3939000143,,trairivi@gmail.com,,3,4,"Jan 01 - Jan 10, Jan 17 - Jul 31, Aug 08 - Dec 31",45.6657072,13.7725807
63840,TRIESTE,Tra I Tetti,Luca Veuer,Via Imbriani,10,+39 349 544114;+39 349 544114,,lucaveue@gmail.com,,2,4,"Jan 01 - Sep 11, Oct 01 - Oct 15, Nov 01 - Nov 06, Dec 01 - Dec 11, Dec 19 - Dec 31",,
62800,TRIESTE,Trieste 59,Camilla Gombani,Via Cesare Cantù,59,+39 333 8674678;+39 333 8674678,,trieste59bb@gmail.com,,4,6,"Jan 01 - Jan 10, Mar 04 - Jun 04, Jun 13 - Nov 06, Dec 01 - Dec 31",45.6617147,13.7809238
71221,TRIESTE,,Luigi Gugliermetto,Via Ugo Foscolo,20,+39 334 8165595;+39 334 8165595,,gugliermetto65@gmail.com,,2,5,"Jun 01 - Nov 05, Dec 06 - Dec 31",45.6473009,13.7825195
70241,TRIESTE,Valentina,Valentina Botter,Vicolo delle Rose,49,+39 347 0978150;+39 347 0978150,,,,1,2,"Apr 14 - May 18, May 25 - Jun 19, Jun 23 - Jul 08, Jul 13 - Sep 30, Oct 05 - Oct 18, Oct 27 - Nov 08, Dec 01 - Dec 12",45.6666881,13.7778167444309
47081,TRIESTE,Ventodibora,Blasizza Federica,Via Bartoletti,4,+39 333 3592541,,info@ventodibora.it,http://www.ventodibora.it,1,4,"Jan 01 - Jan 10, Jan 22 - Oct 10, Oct 21 - Dec 31",45.6429818,13.7895384
69645,TRIESTE,,Franco Floriddia,Via Muratte,8,+39 3488135510;+39 348 8135510,,franco.floriddia@super2000.it,,3,6,"Feb 01 - May 31, Jun 20 - Aug 20, Sep 15 - Dec 31",,
68000,TRIESTE,Villa Inn,Guido Samsa,Via Ulderico Moro,1,+39 040 414625;+39 333 8023075,,,,4,8,Aug 02 - Dec 31,45.6839925,13.7569903
54841,TRIESTE,,Nadal Nela,Strada per Basovizza,50,+39 392 3241222  333 1130704,,alessio.giannella@yahoo.it,,3,6,"Jan 01 - Jan 31, Mar 01 - Oct 30, Dec 01 - Dec 31",45.6524974,13.8183876
55240,TRIESTE,Z1 - Zudecche 1,Riosa Michela,Via delle Zudecche,1,+39 345 0424433,,michela.riosa@gmail.com,,4,8,"Jan 01 - Jan 31, Feb 05 - May 15, May 20 - Oct 02, Oct 07 - Dec 31",45.6490613,13.7775356
49920,TRIESTE,Al Parco,Esmeralda Abruzzese,Via Giulia,6,+39 392 2941592;+39 392 2941592,,esmeab@virgilio.it,,2,5,"Jan 01 - Feb 14, Feb 29 - Nov 14, Dec 01 - Dec 31",45.6540579,13.7861378
67361,TRIESTE,Area 39,Diego Duratorre,Via Giulia,39,+39 347 3905000,,diego1512@icloud.com,,2,5,Jun 01 - Dec 31,45.6542546,13.7885402
